lon,lat,source,country,substance,area_ha
-51.5208,-28.8985,ANM,BR,BASALTO,1.96
-52.3035,-24.0454,ANM,BR,BASALTO,9
-50.7241,-23.3199,ANM,BR,BASALTO,48.77
-51.042,-23.2626,ANM,BR,BASALTO,5.32
-47.4378,-22.726,ANM,BR,DIABÁSIO,49.99
-51.1339,-29.6342,ANM,BR,BASALTO,8.85
-49.5534,-28.7066,ANM,BR,BASALTO,48.69
-51.4984,-25.4415,ANM,BR,BASALTO,36.18
-52.374,-23.1973,ANM,BR,BASALTO,42.75
-51.4151,-26.9896,ANM,BR,BASALTO,3.17
-54.0803,-28.3566,ANM,BR,BASALTO,24.15
-51.9899,-28.5831,ANM,BR,BASALTO,25
-47.282,-22.6947,ANM,BR,DIABÁSIO P/ BRITA,15.58
-46.9744,-22.6961,ANM,BR,DIABÁSIO,1.96
-51.5034,-25.4465,ANM,BR,BASALTO,48.26
-51.8679,-28.39,ANM,BR,BASALTO,1.95
-54.5181,-27.8679,ANM,BR,BASALTO P/ REVESTIMENTO,14.18
-50.2297,-21.1166,ANM,BR,BASALTO,27.1
-51.3001,-29.1935,ANM,BR,BASALTO,11.09
-50.6379,-25.5308,ANM,BR,DIABÁSIO,50
-48.2093,-21.8379,ANM,BR,BASALTO,27.41
-53.8068,-29.5773,ANM,BR,BASALTO,20
-51.9389,-23.4757,ANM,BR,BASALTO,40.75
-51.91,-23.3468,ANM,BR,BASALTO,200
-46.929,-22.4915,ANM,BR,DIABÁSIO,14.95
-50.7737,-25.4148,ANM,BR,GABRO,3.2
-51.4264,-23.4429,ANM,BR,BASALTO,17.38
-51.5778,-28.7425,ANM,BR,BASALTO,0.96
-48.3718,-23.5254,ANM,BR,DIABÁSIO,600
-51.3833,-23.4434,ANM,BR,BASALTO,49.21
-51.6404,-28.7526,ANM,BR,BASALTO,1.15
-51.2534,-26.3919,ANM,BR,BASALTO,46.65
-47.6423,-22.385,ANM,BR,DIABÁSIO,20.14
-50.4545,-24.0111,ANM,BR,DIABÁSIO,44.21
-51.5032,-28.7474,ANM,BR,BASALTO,1.25
-50.78,-28.0491,ANM,BR,BASALTO,5.81
-51.4573,-22.6022,ANM,BR,BASALTO,48.82
-47.1708,-22.7669,ANM,BR,BASALTO P/ BRITA,21.56
-47.4851,-22.9337,ANM,BR,BASALTO,50
-49.805,-21.2874,ANM,BR,BASALTO,212.25
-52.1039,-29.4121,ANM,BR,BASALTO P/ BRITA,20
-60.7375,2.9524,ANM,BR,BASALTO,48
-51.9628,-23.4699,ANM,BR,BASALTO,49.69
-51.8289,-29.3139,ANM,BR,BASALTO,2
-51.2583,-29.7235,ANM,BR,BASALTO,49.97
-49.9396,-23.1354,ANM,BR,BASALTO,50
-48.7852,-22.3603,ANM,BR,BASALTO,49.85
-50.2757,-28.0343,ANM,BR,BASALTO,2.31
-52.4551,-26.8878,ANM,BR,BASALTO,3
-54.2001,-25.3341,ANM,BR,BASALTO,36.01
-53.4662,-25.0083,ANM,BR,BASALTO,50
-48.7848,-22.3604,ANM,BR,BASALTO,14
-51.9405,-23.4826,ANM,BR,BASALTO,11.55
-51.43,-23.4399,ANM,BR,BASALTO,45.66
-47.6998,-21.0772,ANM,BR,BASALTO,45
-46.9761,-22.6971,ANM,BR,DIABÁSIO,8.89
-49.4755,-18.9592,ANM,BR,BASALTO,49.83
